Accession,Host
NC_055715,Klebsiella pneumoniae
NC_055716,Yersinia enterocolitica
NC_055717,Vibrio coralliilyticus
NC_055718,Escherichia coli
NC_055719,Parasynechococcus marenigrum
NC_055720,Pseudomonas sp.
NC_055721,Escherichia coli
NC_055722,Burkholderia glumae
NC_055726,Cronobacter malonaticus
NC_055727,Proteus mirabilis
NC_055730,Mycolicibacterium smegmatis
NC_055731,Gordonia terrae
NC_055732,Gordonia terrae
NC_055733,Aeromonas hydrophila
NC_055734,Shigella sonnei
NC_055735,Vibrio breoganii
NC_055736,Vibrio breoganii
NC_055737,Proteus penneri
NC_055738,Gordonia terrae
NC_055739,Enterobacter cloacae
NC_055740,Escherichia coli
NC_055741,Escherichia coli
NC_055742,Escherichia coli
NC_055743,Erwinia amylovora
NC_055744,Parasynechococcus marenigrum
NC_055745,Gordonia westfalica
NC_055746,Aeromonas hydrophila
NC_055747,Aeromonas hydrophila
NC_055748,Klebsiella pneumoniae
NC_055749,Escherichia coli
NC_055750,Mycolicibacterium smegmatis
NC_055751,Gordonia terrae
NC_055752,Gordonia terrae
NC_055753,Gordonia terrae
NC_055754,Gordonia terrae
NC_055755,Gordonia terrae
NC_055757,Escherichia coli
NC_055758,Gordonia terrae
NC_055759,Mycolicibacterium smegmatis
NC_055761,Synechococcus sp. WH 7803
NC_055762,Gordonia terrae
NC_055763,Gordonia terrae
NC_055764,Gordonia terrae
NC_055765,Gordonia terrae
NC_055766,Gordonia terrae
NC_055767,Gordonia terrae
NC_055768,Klebsiella pneumoniae
NC_055769,Gordonia terrae
NC_055770,Gordonia terrae
NC_055771,Gordonia terrae
NC_055772,Corynebacterium vitaeruminis
NC_055773,Gordonia terrae
NC_055774,Gordonia terrae
NC_055775,Gordonia terrae
NC_055776,Gordonia terrae
NC_055777,Gordonia terrae
NC_055778,Gordonia terrae
NC_055779,Gordonia terrae
NC_055780,Escherichia coli
NC_055781,Escherichia coli
NC_055782,Escherichia coli
NC_055783,Escherichia coli
NC_055785,Gordonia terrae
NC_055786,Mycolicibacterium smegmatis
NC_055787,Mycolicibacterium smegmatis
NC_055788,Gordonia terrae
NC_055789,Gordonia terrae
NC_055790,Mycolicibacterium smegmatis
NC_055791,Streptomyces griseus
NC_055792,Gordonia terrae
NC_055793,Pseudomonas aeruginosa
NC_055794,Vibrio campbellii
NC_055795,Gordonia terrae
NC_055796,Gordonia terrae
NC_055797,Gordonia terrae
NC_055798,Gordonia terrae
NC_055799,Gordonia terrae
NC_055800,Vibrio campbellii
NC_055801,Vibrio harveyi
NC_055802,Staphylococcus aureus
NC_055803,Gordonia terrae
NC_055804,Gordonia terrae
NC_055805,Gordonia terrae
NC_055806,Gordonia terrae
NC_055807,Corynebacterium vitaeruminis
NC_055808,Gordonia terrae
NC_055809,Streptomyces griseus
NC_055810,Gordonia terrae
NC_055811,Gordonia terrae
NC_055812,Mycolicibacterium smegmatis
NC_055813,Streptomyces griseus
NC_055814,Staphylococcus aureus
NC_055815,Mycolicibacterium smegmatis
NC_055816,Gordonia terrae
NC_055817,Mycolicibacterium smegmatis
NC_055818,Gordonia terrae
NC_055819,Gordonia terrae
NC_055820,Gordonia terrae
NC_055821,Gordonia terrae
NC_055822,Streptomyces griseus
NC_055823,Acinetobacter pittii
NC_055824,Vibrio owensii
NC_055825,Mycolicibacterium smegmatis
NC_055827,Mycolicibacterium smegmatis
NC_055828,Bacteroides xylanisolvens
NC_055829,Vibrio harveyi
NC_055830,Vibrio harveyi
NC_055832,Bacteroides thetaiotaomicron
NC_055833,Enterococcus faecalis
NC_055834,Enterococcus faecalis
NC_055835,Xanthomonas campestris
NC_055836,Xanthomonas campestris
NC_055837,Xanthomonas campestris
NC_055838,Xanthomonas campestris
NC_055839,Xanthomonas campestris
NC_055842,Streptomyces griseofuscus
NC_055843,Gordonia terrae
NC_055844,Yersinia pestis
NC_055845,Yersinia pestis
NC_055846,Yersinia pestis
NC_055847,Vibrio harveyi
NC_055848,Vibrio harveyi
NC_055849,Vibrio harveyi
NC_055850,Vibrio harveyi
NC_055851,Vibrio harveyi
NC_055856,Gordonia terrae
NC_055857,Gordonia terrae
NC_055858,Mycolicibacterium smegmatis
NC_055859,Gordonia terrae
NC_055860,Mycolicibacterium smegmatis
NC_055861,Gordonia terrae
NC_055862,Vibrio alginolyticus
NC_055863,Burkholderia gladioli
NC_055864,Gordonia terrae
NC_055865,Gordonia terrae
NC_055866,Enterococcus faecalis
NC_055867,Gordonia terrae
NC_055905,Bacillus thuringiensis
NC_055906,Staphylococcus aureus
NC_055908,Bacillus cereus
NC_055909,Mycolicibacterium smegmatis
NC_055910,Providencia stuartii
NC_055911,Burkholderia thailandensis
NC_055912,Gordonia terrae
NC_055913,Vibrio harveyi
NC_055914,Bacillus thuringiensis
NC_055915,Flavobacterium sp. LMO8
NC_055916,Staphylococcus aureus
NC_055918,Mycolicibacterium smegmatis
NC_055919,Klebsiella pneumoniae
NC_055920,Gordonia terrae
NC_055921,Salmonella enterica
NC_054890,Pseudomonas syringae
NC_054891,Ralstonia pseudosolanacearum
NC_054892,Escherichia coli
NC_054894,Escherichia coli
NC_054896,Escherichia coli
NC_054897,Citrobacter amalonaticus
NC_054899,Citrobacter rodentium
NC_054900,Citrobacter rodentium
NC_054901,Citrobacter rodentium
NC_054902,Escherichia coli
NC_054903,Escherichia coli
NC_054904,Escherichia coli
NC_054905,Escherichia coli
NC_054906,Escherichia coli
NC_054908,Escherichia coli
NC_054909,Escherichia coli
NC_054910,Escherichia coli
NC_054911,Escherichia coli
NC_054913,Escherichia coli
NC_054914,Escherichia coli
NC_054915,Escherichia coli
NC_054916,Escherichia coli
NC_054917,Escherichia coli
NC_054918,Escherichia coli
NC_054919,Escherichia coli
NC_054920,Escherichia coli
NC_054921,Escherichia coli
NC_054922,Escherichia coli
NC_054923,Escherichia coli
NC_054925,Escherichia coli
NC_054926,Escherichia coli
NC_054928,Escherichia coli
NC_054929,Escherichia coli
NC_054932,Escherichia coli
NC_054933,Escherichia coli
NC_054934,Escherichia coli
NC_054936,Salmonella enterica
NC_054937,Salmonella enterica
NC_054938,Prodigiosinella confusarubida
NC_054939,Escherichia coli
NC_054940,Escherichia coli
NC_054941,Shigella flexneri
NC_054942,Shigella sp.
NC_054944,Yersinia pseudotuberculosis
NC_054945,Yersinia pseudotuberculosis
NC_054946,Ralstonia pseudosolanacearum
NC_054952,Stenotrophomonas sp.
NC_054953,Halobacterium salinarum
NC_054954,Natrialba magadii
NC_054955,Ralstonia pseudosolanacearum
NC_054956,Ralstonia pseudosolanacearum
NC_054957,Ralstonia pseudosolanacearum
NC_054958,Ralstonia pseudosolanacearum
NC_054959,Ralstonia pseudosolanacearum
NC_054960,Ralstonia pseudosolanacearum
NC_054961,Ralstonia pseudosolanacearum
NC_054962,Ralstonia pseudosolanacearum
NC_054963,Ralstonia pseudosolanacearum
NC_054964,Ralstonia solanacearum
NC_054965,Klebsiella pneumoniae
NC_054966,Klebsiella pneumoniae
NC_054967,Achromobacter xylosoxidans
NC_054968,Achromobacter xylosoxidans
NC_054969,Achromobacter xylosoxidans
NC_054970,Pseudomonas syringae
NC_054971,Achromobacter xylosoxidans
NC_054972,Achromobacter xylosoxidans
NC_054973,Staphylococcus aureus
NC_054974,Staphylococcus aureus
NC_054975,Staphylococcus aureus
NC_054976,Staphylococcus aureus
NC_054977,Staphylococcus aureus
NC_054978,Staphylococcus aureus
NC_054979,Staphylococcus aureus
NC_054980,Staphylococcus aureus
NC_054981,Staphylococcus aureus
NC_054982,Staphylococcus aureus
NC_054984,Paenibacillus larvae
NC_054985,Paenibacillus larvae
NC_054986,Leuconostoc pseudomesenteroides
NC_054987,Leuconostoc pseudomesenteroides
NC_054988,Leuconostoc mesenteroides
NC_054989,Brevibacterium aurantiacum
NC_054990,Lactococcus lactis
NC_054991,Lactococcus lactis
NC_054992,Lactococcus lactis
NC_054993,Lactococcus lactis
NC_054994,Lactococcus lactis
NC_054995,Lactococcus lactis
NC_054996,Lactococcus lactis
NC_054997,Lactococcus lactis
NC_054998,Lactococcus lactis
NC_055000,Lactococcus lactis
NC_055002,Lactococcus lactis
NC_055004,Lactococcus lactis
NC_055005,Lactococcus lactis
NC_055006,Lactococcus lactis
NC_055007,Lactococcus lactis
NC_055008,Lactococcus lactis
NC_055009,Lactococcus lactis
NC_055010,Lactococcus lactis
NC_055011,Lactococcus lactis
NC_055012,Lactococcus lactis
NC_055013,Lactococcus lactis
NC_055014,Lactococcus lactis
NC_055015,Lactococcus lactis
NC_055016,Lactococcus lactis
NC_055017,Lactococcus lactis
NC_055018,Lactococcus lactis
NC_055020,Staphylococcus pseudintermedius
NC_055021,Staphylococcus pseudintermedius
NC_055022,Staphylococcus pseudintermedius
NC_055023,Staphylococcus pseudintermedius
NC_055024,Staphylococcus pseudintermedius
NC_055025,Staphylococcus pseudintermedius
NC_055026,Ralstonia pseudosolanacearum
NC_055028,Paenibacillus larvae
NC_055029,Paenibacillus larvae
NC_055030,Paenibacillus larvae
NC_055031,Paenibacillus larvae
NC_055035,Fusobacterium nucleatum
NC_055036,Staphylococcus epidermidis
NC_055037,Leuconostoc pseudomesenteroides
NC_055038,Staphylococcus aureus
NC_055039,Staphylococcus aureus
NC_055040,Staphylococcus aureus
NC_055041,Staphylococcus aureus
NC_055042,Staphylococcus aureus
NC_055043,Staphylococcus aureus
NC_055044,Staphylococcus aureus
NC_055045,Staphylococcus aureus
NC_055046,Staphylococcus aureus
NC_055047,Staphylococcus aureus
NC_055048,Staphylococcus aureus
NC_055049,Staphylococcus aureus
NC_055050,Lactococcus garvieae
NC_055051,Vibrio cholerae
NC_055052,Ralstonia solanacearum
NC_055053,Ralstonia solanacearum
NC_055054,Ralstonia solanacearum
NC_055055,Xanthomonas oryzae
NC_055059,Streptomyces scabiei
NC_055060,Streptomyces scabiei
NC_055061,Rhodococcus opacus
NC_054814,Mycolicibacterium smegmatis
NC_054815,Mycolicibacterium smegmatis
NC_054794,Mycolicibacterium smegmatis
NC_054795,Mycolicibacterium smegmatis
NC_054796,Mycolicibacterium smegmatis
NC_054797,Mycolicibacterium smegmatis
NC_054798,Mycolicibacterium smegmatis
NC_054799,Mycolicibacterium smegmatis
NC_054800,Mycolicibacterium smegmatis
NC_054801,Mycolicibacterium smegmatis
NC_054802,Mycolicibacterium smegmatis
NC_054803,Mycolicibacterium smegmatis
NC_054804,Mycolicibacterium smegmatis
NC_054805,Mycolicibacterium smegmatis
NC_054806,Mycolicibacterium smegmatis
NC_054807,Mycolicibacterium smegmatis
NC_054808,Mycolicibacterium smegmatis
NC_054809,Mycolicibacterium smegmatis
NC_054810,Mycolicibacterium smegmatis
NC_054811,Mycolicibacterium smegmatis
NC_054812,Mycolicibacterium smegmatis
NC_054813,Mycolicibacterium smegmatis
NC_054783,Mycolicibacterium smegmatis
NC_054784,Mycolicibacterium smegmatis
NC_054785,Mycolicibacterium smegmatis
NC_054786,Mycolicibacterium smegmatis
NC_054787,Mycolicibacterium smegmatis
NC_054788,Mycolicibacterium smegmatis
NC_054789,Mycolicibacterium smegmatis
NC_054790,Mycolicibacterium smegmatis
NC_054791,Mycolicibacterium smegmatis
NC_054793,Mycolicibacterium smegmatis
NC_054770,Mycolicibacterium smegmatis
NC_054771,Mycolicibacterium smegmatis
NC_054772,Mycolicibacterium smegmatis
NC_054773,Mycolicibacterium phlei
NC_054774,Mycolicibacterium smegmatis
NC_054775,Mycolicibacterium smegmatis
NC_054776,Mycolicibacterium smegmatis
NC_054777,Mycolicibacterium smegmatis
NC_054778,Mycolicibacterium smegmatis
NC_054779,Mycolicibacterium smegmatis
NC_054780,Mycolicibacterium smegmatis
NC_054781,Mycolicibacterium smegmatis
NC_054782,Mycolicibacterium smegmatis
NC_054759,Mycolicibacterium smegmatis
NC_054760,Mycolicibacterium smegmatis
NC_054761,Mycolicibacterium smegmatis
NC_054762,Rhodococcus erythropolis
NC_054723,Gordonia terrae
NC_054724,Rhodococcus erythropolis
NC_054725,Gordonia terrae
NC_054726,Gordonia terrae
NC_054727,Mycolicibacterium smegmatis
NC_054714,Mycolicibacterium smegmatis
NC_054715,Mycolicibacterium smegmatis
NC_054716,Mycolicibacterium smegmatis
NC_054717,Mycolicibacterium smegmatis
NC_054718,Mycolicibacterium smegmatis
NC_054719,Mycolicibacterium smegmatis
NC_054720,Mycolicibacterium smegmatis
NC_054721,Mycolicibacterium smegmatis
NC_054722,Mycolicibacterium smegmatis
NC_054655,Streptomyces xanthochromogenes
NC_054656,Streptomyces toxytricini
NC_054657,Streptomyces sp.
NC_054658,Streptomyces sp.
NC_054659,Streptomyces sp.
NC_054660,Streptomyces xanthochromogenes
NC_054661,Streptomyces platensis
NC_054662,Streptomyces azureus
NC_054663,Streptomyces xanthochromogenes
NC_054664,Streptomyces xanthochromogenes
NC_054665,Streptomyces xanthochromogenes
NC_054666,Streptomyces lividans
NC_054667,Streptomyces griseofuscus
NC_054668,Streptomyces xanthochromogenes
NC_054669,Streptomyces lividans
NC_054670,Streptomyces xanthochromogenes
NC_054671,Streptomyces lividans
NC_054672,Streptomyces coelicolor
NC_054673,Streptomyces coelicolor
NC_054674,Streptomyces coelicolor
NC_054675,Streptomyces griseofuscus
NC_054676,Streptomyces sp.
NC_054677,Streptomyces azureus
NC_054678,Streptomyces griseus
NC_054679,Streptomyces lividans
NC_054680,Streptomyces toxytricini
NC_054681,Streptomyces griseus
NC_054636,Shigella flexneri
NC_054637,Escherichia coli
NC_054638,Salmonella enterica
NC_054639,Salmonella enterica
NC_054640,Salmonella enterica
NC_054641,Salmonella enterica
NC_054642,Salmonella enterica
NC_054643,Salmonella enterica
NC_054644,Salmonella enterica
NC_054645,Salmonella enterica
NC_054646,Salmonella sp.
NC_054647,Salmonella enterica
NC_054648,Salmonella enterica
NC_054650,Shigella flexneri
NC_054651,Escherichia coli
NC_054652,Klebsiella pneumoniae
NC_054653,Klebsiella pneumoniae
NC_054654,Klebsiella pneumoniae
NC_054462,Ralstonia pseudosolanacearum
NC_054463,Ralstonia pseudosolanacearum
NC_054464,Edwardsiella anguillarum
NC_054465,Aeromonas rivipollensis
NC_054466,Aeromonas rivipollensis
NC_054458,Xanthomonas oryzae
NC_054459,Xanthomonas oryzae
NC_054460,Xanthomonas euvesicatoria
NC_054461,Xanthomonas vesicatoria
NC_054448,Mycolicibacterium smegmatis
NC_054449,Mycolicibacterium smegmatis
NC_054450,Mycolicibacterium smegmatis
NC_054451,Mycolicibacterium smegmatis
NC_054452,Mycolicibacterium smegmatis
NC_054453,Mycolicibacterium smegmatis
NC_054454,Mycolicibacterium smegmatis
NC_054455,Mycolicibacterium smegmatis
NC_054456,Mycolicibacterium smegmatis
NC_054439,Mycolicibacterium smegmatis
NC_054440,Mycolicibacterium smegmatis
NC_054441,Mycolicibacterium smegmatis
NC_054442,Mycolicibacterium smegmatis
NC_054443,Mycolicibacterium smegmatis
NC_054444,Mycolicibacterium smegmatis
NC_054445,Mycolicibacterium smegmatis
NC_054446,Mycolicibacterium smegmatis
NC_054447,Mycolicibacterium smegmatis
NC_054431,Microbacterium foliorum
NC_054432,Mycobacteroides abscessus
NC_054433,Mycobacterium sp.
NC_054434,Gordonia terrae
NC_054435,Gordonia terrae
NC_054436,Gordonia terrae
NC_054437,Gordonia terrae
NC_054438,Gordonia terrae
NC_054146,Ralstonia solanacearum
NC_054147,Achromobacter sp.
NC_054148,Burkholderia cenocepacia
NC_054149,Pseudomonas aeruginosa
NC_054392,Gordonia terrae
NC_054393,Mycolicibacterium smegmatis
NC_053504,Mycolicibacterium smegmatis
NC_053505,Mycolicibacterium smegmatis
NC_053506,Mycolicibacterium smegmatis
NC_053507,Mycolicibacterium smegmatis
NC_053508,Mycolicibacterium smegmatis
NC_053509,Mycolicibacterium smegmatis
NC_053510,Mycolicibacterium smegmatis
NC_053511,Mycolicibacterium smegmatis
NC_053512,Mycolicibacterium smegmatis
NC_053513,Mycolicibacterium smegmatis
NC_053514,Mycolicibacterium smegmatis
NC_053515,Mycolicibacterium smegmatis
NC_053516,Mycolicibacterium smegmatis
NC_053503,Mycolicibacterium smegmatis
NC_053209,Mycolicibacterium smegmatis
NC_053210,Gordonia terrae
NC_053211,Gordonia terrae
NC_053234,Gordonia terrae
NC_053235,Gordonia terrae
NC_053236,Gordonia terrae
NC_053237,Gordonia terrae
NC_053238,Gordonia terrae
NC_053239,Gordonia terrae
NC_053240,Gordonia terrae
NC_053241,Gordonia terrae
NC_053242,Gordonia terrae
NC_053243,Gordonia terrae
NC_053244,Gordonia terrae
NC_053245,Gordonia terrae
NC_053246,Gordonia terrae
NC_053247,Gordonia terrae
NC_053248,Gordonia terrae
NC_053249,Gordonia terrae
NC_053172,Gordonia terrae
NC_053173,Gordonia terrae
NC_053174,Gordonia terrae
NC_052968,Synechococcus sp.
NC_052969,Ruegeria pomeroyi
NC_052970,Ruegeria pomeroyi
NC_052971,Ruegeria pomeroyi
NC_052972,Ruegeria pomeroyi
NC_052975,Klebsiella pneumoniae
NC_052976,Pseudomonas sp.
NC_052979,Providencia stuartii
NC_052980,Proteus mirabilis
NC_052981,Proteus mirabilis
NC_052984,Aeromonas hydrophila
NC_052985,Aeromonas hydrophila
NC_052987,Klebsiella pneumoniae
NC_052988,Klebsiella pneumoniae
NC_052989,Cronobacter sakazakii
NC_052991,Klebsiella pneumoniae
NC_052999,Salmonella enterica
NC_053000,Salmonella enterica
NC_053008,Salmonella sp.
NC_053009,Providencia rettgeri
NC_053010,Providencia rettgeri
NC_053011,Erwinia pyrifoliae
NC_053013,Pseudomonas aeruginosa
NC_053014,Pectobacterium carotovorum
NC_053015,Pectobacterium carotovorum
NC_052964,Pseudomonas sp.
NC_052965,Pseudomonas aeruginosa
NC_052966,Xanthomonas oryzae
NC_052932,Microbacterium foliorum
NC_052933,Microbacterium foliorum
NC_052934,Microbacterium foliorum
NC_052935,Microbacterium foliorum
NC_052936,Microbacterium foliorum
NC_052937,Microbacterium foliorum
NC_052938,Microbacterium foliorum
NC_052939,Microbacterium foliorum
NC_052940,Microbacterium paraoxydans
NC_052941,Microbacterium paraoxydans
NC_052653,Escherichia coli
NC_052654,Escherichia coli
NC_052655,Escherichia coli
NC_052656,Escherichia coli
NC_052657,Escherichia coli
NC_052658,Escherichia coli
NC_052659,Escherichia coli
NC_052660,Escherichia coli
NC_052661,Escherichia coli
NC_052662,Escherichia coli
NC_052663,Escherichia coli
NC_052650,Halobacterium salinarum
NC_051634,Mycolicibacterium smegmatis
NC_051635,Mycolicibacterium smegmatis
NC_051636,Mycolicibacterium smegmatis
NC_051637,Mycolicibacterium smegmatis
NC_051638,Mycolicibacterium smegmatis
NC_051639,Mycolicibacterium smegmatis
NC_051641,Mycolicibacterium smegmatis
NC_051642,Mycolicibacterium smegmatis
NC_051647,Mycolicibacterium smegmatis
NC_051648,Mycolicibacterium smegmatis
NC_051649,Mycolicibacterium smegmatis
NC_051650,Mycolicibacterium smegmatis
NC_051651,Mycolicibacterium smegmatis
NC_051652,Mycolicibacterium smegmatis
NC_051653,Mycolicibacterium smegmatis
NC_051654,Mycolicibacterium smegmatis
NC_051656,Mycolicibacterium smegmatis
NC_051657,Mycolicibacterium smegmatis
NC_051658,Mycolicibacterium smegmatis
NC_051661,Mycolicibacterium smegmatis
NC_051662,Mycolicibacterium smegmatis
NC_051663,Mycolicibacterium smegmatis
NC_051664,Mycolicibacterium smegmatis
NC_051665,Mycolicibacterium smegmatis
NC_051668,Mycolicibacterium smegmatis
NC_051672,Mycolicibacterium smegmatis
NC_051675,Mycolicibacterium smegmatis
NC_051676,Mycolicibacterium smegmatis
NC_051678,Mycolicibacterium smegmatis
NC_051679,Mycolicibacterium smegmatis
NC_051680,Mycolicibacterium smegmatis
NC_051681,Mycolicibacterium smegmatis
NC_051682,Mycolicibacterium smegmatis
NC_051683,Mycolicibacterium smegmatis
NC_051684,Mycolicibacterium smegmatis
NC_051685,Mycolicibacterium smegmatis
NC_051687,Mycolicibacterium smegmatis
NC_051690,Mycolicibacterium smegmatis
NC_051691,Mycolicibacterium smegmatis
NC_051693,Mycolicibacterium smegmatis
NC_051695,Mycolicibacterium smegmatis
NC_051696,Mycolicibacterium smegmatis
NC_051699,Mycolicibacterium smegmatis
NC_051700,Mycolicibacterium smegmatis
NC_051702,Mycolicibacterium smegmatis
NC_051704,Mycolicibacterium smegmatis
NC_051705,Mycolicibacterium smegmatis
NC_051706,Mycolicibacterium smegmatis
NC_051711,Mycolicibacterium smegmatis
NC_051713,Mycolicibacterium smegmatis
NC_051714,Mycolicibacterium smegmatis
NC_051716,Mycolicibacterium smegmatis
NC_051717,Mycolicibacterium smegmatis
NC_051718,Mycolicibacterium smegmatis
NC_051719,Mycolicibacterium smegmatis
NC_051720,Mycolicibacterium smegmatis
NC_051721,Mycolicibacterium smegmatis
NC_051722,Mycolicibacterium smegmatis
NC_051723,Mycolicibacterium smegmatis
NC_051724,Mycolicibacterium smegmatis
NC_051725,Mycolicibacterium smegmatis
NC_051726,Mycolicibacterium smegmatis
NC_051727,Mycolicibacterium smegmatis
NC_051728,Mycolicibacterium smegmatis
NC_051729,Mycolicibacterium smegmatis
NC_051730,Mycolicibacterium smegmatis
NC_051731,Mycolicibacterium smegmatis
NC_051732,Mycolicibacterium smegmatis
NC_051733,Mycolicibacterium smegmatis
NC_051734,Mycolicibacterium smegmatis
NC_051735,Mycolicibacterium smegmatis
NC_051736,Mycolicibacterium smegmatis
NC_051737,Mycolicibacterium smegmatis
NC_051738,Mycolicibacterium smegmatis
NC_051739,Mycolicibacterium smegmatis
NC_051740,Mycolicibacterium smegmatis
NC_051580,Mycolicibacterium smegmatis
NC_051581,Mycolicibacterium smegmatis
NC_051582,Mycolicibacterium smegmatis
NC_051583,Mycolicibacterium smegmatis
NC_051584,Mycolicibacterium smegmatis
NC_051585,Mycolicibacterium smegmatis
NC_051586,Mycolicibacterium smegmatis
NC_051587,Mycolicibacterium smegmatis
NC_051588,Mycolicibacterium smegmatis
NC_051589,Mycolicibacterium smegmatis
NC_051590,Mycolicibacterium smegmatis
NC_051591,Mycolicibacterium smegmatis
NC_051592,Mycolicibacterium smegmatis
NC_051594,Mycolicibacterium smegmatis
NC_051595,Mycolicibacterium smegmatis
NC_051596,Mycolicibacterium smegmatis
NC_051597,Mycolicibacterium smegmatis
NC_051598,Mycolicibacterium smegmatis
NC_051599,Mycolicibacterium smegmatis
NC_051600,Mycolicibacterium smegmatis
NC_051601,Mycolicibacterium smegmatis
NC_051602,Mycolicibacterium smegmatis
NC_051603,Mycolicibacterium smegmatis
NC_051604,Mycolicibacterium smegmatis
NC_051605,Mycolicibacterium smegmatis
NC_051606,Mycolicibacterium smegmatis
NC_051607,Mycolicibacterium smegmatis
NC_051608,Mycolicibacterium smegmatis
NC_051610,Mycolicibacterium smegmatis
NC_051611,Mycolicibacterium smegmatis
NC_051612,Mycolicibacterium smegmatis
NC_051614,Mycolicibacterium smegmatis
NC_051615,Mycolicibacterium smegmatis
NC_051616,Mycolicibacterium smegmatis
NC_051617,Mycolicibacterium smegmatis
NC_051618,Mycolicibacterium smegmatis
NC_051619,Mycolicibacterium smegmatis
NC_051620,Mycolicibacterium smegmatis
NC_051621,Mycolicibacterium smegmatis
NC_051622,Mycolicibacterium smegmatis
NC_051623,Mycolicibacterium smegmatis
NC_051624,Mycolicibacterium smegmatis
NC_051625,Mycolicibacterium smegmatis
NC_051626,Mycolicibacterium smegmatis
NC_051627,Mycolicibacterium smegmatis
NC_051628,Mycolicibacterium smegmatis
NC_051629,Mycolicibacterium smegmatis
NC_051630,Mycolicibacterium smegmatis
NC_051631,Mycolicibacterium smegmatis
NC_050154,Escherichia coli
NC_050143,Pseudomonas aeruginosa
NC_050144,Pseudomonas sp.
NC_050145,Pseudomonas aeruginosa
NC_050146,Pseudomonas sp.
NC_050147,Pseudomonas sp.
NC_050148,Pseudomonas aeruginosa
NC_050149,Pseudomonas aeruginosa
NC_050150,Pseudomonas aeruginosa
NC_050151,Pseudomonas aeruginosa
NC_049941,Escherichia coli
NC_049942,Escherichia coli
NC_049943,Escherichia coli
NC_049944,Escherichia coli
NC_049945,Escherichia coli
NC_049946,Escherichia coli
NC_049947,Escherichia coli
NC_049948,Escherichia coli
NC_049949,Escherichia coli
NC_049950,Escherichia coli
NC_049951,Escherichia coli
NC_049952,Escherichia coli
NC_049953,Escherichia coli
NC_049954,Escherichia coli
NC_049955,Escherichia coli
NC_049960,Bacillus thuringiensis
NC_049961,Bacillus thuringiensis
NC_049962,Bacillus thuringiensis
NC_049963,Bacillus thuringiensis
NC_049965,Bacillus velezensis
NC_049967,Bacillus cereus
NC_049968,Bacillus cereus
NC_049969,Bacillus cereus
NC_049970,Bacillus thuringiensis
NC_049971,Bacillus pumilus
NC_049972,Bacillus pumilus
NC_049973,Bacillus safensis
NC_049974,Bacillus sp. (in: firmicutes)
NC_049975,Bacillus subtilis
NC_049977,Bacteroides intestinalis
NC_049927,Microbacterium foliorum
NC_049928,Microbacterium foliorum
NC_049929,Microbacterium foliorum
NC_049930,Enterococcus faecium
NC_049931,Enterococcus faecium
NC_049932,Enterococcus faecalis
NC_049933,Enterococcus faecalis
NC_049934,Enterococcus faecalis
NC_049935,Enterococcus faecalis
NC_049936,Enterococcus faecalis
NC_049937,Enterococcus faecalis
NC_049938,Enterococcus faecalis
NC_049939,Enterococcus faecalis
NC_049940,Enterococcus faecalis
NC_049917,Escherichia coli
NC_049918,Escherichia coli
NC_049919,Escherichia coli
NC_049923,Escherichia coli
NC_049924,Escherichia coli
NC_049926,Escherichia coli
NC_049900,Listeria monocytogenes
NC_049854,Lactococcus lactis
NC_049855,Lactococcus lactis
NC_049856,Lactococcus lactis
NC_049857,Lactococcus lactis
NC_049805,Lactococcus cremoris
NC_049806,Lactococcus lactis
NC_049807,Lactococcus lactis
NC_049808,Lactococcus lactis
NC_049809,Lactococcus lactis
NC_049810,Lactococcus lactis
NC_049811,Lactococcus lactis
NC_049812,Lactococcus lactis
NC_049813,Escherichia coli
NC_049814,Escherichia coli
NC_049815,Escherichia coli
NC_049816,Escherichia coli
NC_049817,Escherichia coli
NC_049818,Escherichia coli
NC_049819,Escherichia coli
NC_049820,Shigella dysenteriae
NC_049821,Salmonella enterica
NC_049822,Escherichia coli
NC_049823,Escherichia coli
NC_049824,Escherichia coli
NC_049825,Escherichia coli
NC_049826,Escherichia coli
NC_049827,Escherichia coli
NC_049828,Escherichia coli
NC_049829,Escherichia coli
NC_049830,Escherichia coli
NC_049831,Shigella flexneri
NC_049832,Escherichia coli
NC_049833,Klebsiella pneumoniae
NC_049834,Klebsiella pneumoniae
NC_049835,Klebsiella pneumoniae
NC_049836,Klebsiella pneumoniae
NC_049837,Klebsiella pneumoniae
NC_049838,Klebsiella pneumoniae
NC_049839,Klebsiella pneumoniae
NC_049840,Klebsiella pneumoniae
NC_049841,Klebsiella pneumoniae
NC_049842,Klebsiella pneumoniae
NC_049843,Klebsiella pneumoniae
NC_049844,Klebsiella sp.
NC_049845,Klebsiella pneumoniae
NC_049846,Klebsiella pneumoniae
NC_049847,Klebsiella pneumoniae
NC_049849,Achromobacter animicus
NC_049850,Burkholderia cenocepacia
NC_049851,Burkholderia cenocepacia
NC_049852,Escherichia coli
NC_049853,Escherichia coli
NC_049340,Tenacibaculum maritimum
NC_049341,Escherichia coli
NC_049342,Escherichia coli
NC_049343,Escherichia coli
NC_049344,Escherichia coli
NC_049345,Roseovarius nubinhibens
NC_049348,Lactococcus lactis
NC_049349,Lactococcus lactis
NC_049350,Vibrio cholerae
NC_049351,Lactococcus cremoris
NC_049354,Lactococcus lactis
NC_049355,Lactococcus lactis
NC_049356,Lactococcus lactis
NC_049357,Lactococcus lactis
