Accession,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_051722,Mycobacterium phage Demsculpinboyz,Avanivirus demsculpinboyz,Avanivirus,,,,57437,complete,"USA: Livingston, AL",Mycolicibacterium smegmatis MC2 155,,"Sandel,M.W., Keener,T., Fast,K.M., Ali,R., Butcher,B.M., Millwood,J.D., Odom,T., Schellhammer,P.K., Ufomadu,E., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-10-01,2020-11-29,dsDNA
NC_051723,Mycobacterium phage Soul22,Avanivirus soul22,Avanivirus,,,,54814,complete,"USA: Holland, MI",Mycolicibacterium smegmatis MC2 155,,"Koehl,A.J., Koorndyk,N.D., Lockett,T., Paluch,K.V., Petouhoff,A.M., Riebschleger,D.L., Stalions,G.A., Stephan,M.R., Tucker,A.R., Vorhees,N., Beck,A.M., Bartz,C., Bilisko,A., Bojanowski,S.E., Covert,A., Currier,J.K., Hood,S.A., Johnson,H.K., Stukey,J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2019-09-01,2020-11-29,dsDNA
NC_051724,Mycobacterium phage Zapner,Avanivirus zapner,Avanivirus,,,,55307,complete,"USA: Pittsburgh, PA",Mycolicibacterium smegmatis MC2 155,,"Kramer,Z.J., Fasoranti,T.O., Abrahim,M.R., Adkins,N.L., Burke,K.A., Churilla,B.M., Cohen,K.L., Colicchio,M.A., Genkil,J.S., Prout,A.K., Schafer,C.E., Schwarz,A.G., Tish,M., Vispute,N., Wilkes,K.E., Williams,C.R., Xiao,X., Yoder,B.A., Yu,V.J., Lapin,J.S., Ott,C.T., Walburn,T.D., Bradley,K.W., Clarke,D.Q., Lewis,M.F., Barker,L.P., Bailey,C., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2013-09-15,2020-11-29,dsDNA
NC_051725,Mycobacterium phage Rem711,Trigintaduovirus rem711,Trigintaduovirus,,,,50832,complete,"USA: St. Petersburg, FL Pinellas",Mycolicibacterium smegmatis MC2 155,,"Gatt,S.M., Isern,S., Jenkins,M., Tan,A.L., Michael,S.F., Moore,R.E., Ware,V.C., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2013-09-01,2020-11-29,dsDNA
NC_051726,Mycobacterium phage Mendokysei,Bernalvirus mendokysei,Bernalvirus,,,,43511,complete,"USA: Santa Cruz, CA",Mycolicibacterium smegmatis MC2 155,,"Yee,B., Bell,B., Donohue,J.-P., Ares,M. Jr., Hartzog,G.A., Dargyte,M., DeMattos,M., Divekar,N., Farooq,S., Hardison,E., Peracchi,L., Phillips,A., Sennef,S., Fridland,S., Valenzuela-Sanchez,M., Stoner,T.H., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2008-10-01,2020-11-29,dsDNA
NC_051727,Mycobacterium phage Willsammy,Fishburnevirus willsammy,Fishburnevirus,,,,48399,complete,"USA: Longview, TX",Mycolicibacterium smegmatis MC2 155,,"Frederick,G.D., Baliraine,F.N., Mccormick,C.R., Molidor,A.C., Parrish,A.W., Williams,K., Moonsammy,C., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2016-09-30,2020-11-29,dsDNA
NC_051728,Mycobacterium phage Megiddo,Mycobacterium phage Megiddo,Fishburnevirus,,,,48783,complete,"USA: Longview, TX",Mycolicibacterium smegmatis MC2 155,,"Frederick,G.D., Baliraine,F.N., Gutierrez,K.S., Hester,M.E., Zimmermann,T.R., Claterbaugh,H.B., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-10-04,2020-11-29,dsDNA
NC_051729,Mycobacterium phage Atcoo,Fishburnevirus atcoo,Fishburnevirus,,,,49075,complete,"USA: Parker, CO",Mycolicibacterium smegmatis MC2 155,,"Athavale,M., Cook,T., Haberman,A.G., Ponder,J.K., Guild,N.A., Fillman,C.L., Kistler,A.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2017-10-01,2020-11-29,dsDNA
NC_051730,Mycobacterium phage Jung,Fishburnevirus jung,Fishburnevirus,,,,46561,complete,"USA: Las Vegas, NV",Mycolicibacterium smegmatis,,"Abdela,F., Strong,C., Regner,K., Tsourkas,P.K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2019-09-03,2020-11-29,dsDNA
NC_051731,Mycobacterium phage GreaseLightnin,Fishburnevirus greaselightnin,Fishburnevirus,,,,48424,complete,"USA: Kenosha, WI",Mycolicibacterium smegmatis MC2 155,,"Dunn,K., Gucwa,M., Mullan,M., Nykyforuk,J., Lewer,O.J., Tobiason,D.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2013-08-01,2020-11-29,dsDNA
NC_051732,Mycobacterium phage Ksquared,Fishburnevirus ksquared,Fishburnevirus,,,,48699,complete,"USA: Crete, NE",Mycolicibacterium smegmatis MC2 155,,"Doyle,E.L., Baker,A.C., Carlstedt,H., Hurd,A., Iwata,N., Kepler,C.R., Lewis,J., Luekens,K., McEntee,C., Prochaska,J., Snyder,K., Ulrich,K., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2016-10-01,2020-11-29,dsDNA
NC_051733,Mycobacterium phage Phineas,Mycobacterium phage Phineas,Fishburnevirus,,,,47229,complete,"USA: Holland, MI",Mycolicibacterium smegmatis MC2 155,,"Heeg,E.Y., Carlson,K., Furlong,L., Noordewier,B., Tolsma,S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2011-08-01,2020-11-29,dsDNA
NC_051734,Mycobacterium phage Bartholomew,Fishburnevirus bartholomew,Fishburnevirus,,,,46484,complete,"USA: Kenosha, WI",Mycolicibacterium smegmatis MC2 155,,"Lastname,F.X., Crosby,A.J., Fallert,M.J., Grams,T.R., Krenzke,L.R., Steffen,A.M., Wenta,M.D., Young,C.F., Stauffer,R., Byrnes,D., Tobiason,D.M., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2014-10-01,2020-11-29,dsDNA
NC_051735,Mycobacterium phage FirstPlacePfu,Fishburnevirus firstplacepfu,Fishburnevirus,,,,45680,complete,"USA: Lincoln University, PA",Mycolicibacterium smegmatis,,"Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2014-10-01,2020-11-29,dsDNA
NC_051736,Mycobacterium phage Arib1,Fishburnevirus arib1,Fishburnevirus,,,,46732,complete,"USA: Duluth, MN",Mycolicibacterium smegmatis MC2 155,,"Blow,M.A., DeLestry,D.J., Iteghete,S.O., Reese,M., Reiffer,A.E., Ribich,A.F., Westholm,D.E., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-09-13,2020-11-29,dsDNA
NC_051737,Mycobacterium phage Majeke,Fishburnevirus majeke,Fishburnevirus,,,,47612,complete,South Africa: Durban,Mycolicibacterium smegmatis MC2 155,,"Hlophe,Z., Ntuli,M.Z., Moopanar,K., Mzimela,N.C., Maloney,S.E.K., Ndwandwe,T., Van,P.C., Maharaj,S., Gounden,S., Munsamy,V., Guerrero Bustamante,C.A., Pope,W.H., Russell,D.A., Garlena,R.A., Larsen,M.H., Jacobs-Sera,D., Hatfull,G.F.",2015-07-01,2020-11-29,dsDNA
NC_051738,Mycobacterium phage ThulaThula,Phayoncevirus thulathula,Phayoncevirus,,,,50415,complete,South Africa: Empangeni,Mycolicibacterium smegmatis MC2 155,,"Riley,H.L., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-07-10,2020-11-29,dsDNA
NC_051739,Mycobacterium phage Purky,Purkyvirus purky,Purkyvirus,,,,50513,complete,USA: Washington DC,Mycolicibacterium smegmatis,,"English,H.B., Hanline,L.C., Salsman,M.A., Wilgus,G.V., Purks,T., Korey,C.A., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2013-10-01,2020-11-29,dsDNA
NC_051740,Mycobacterium phage Xavia,Xaviavirus xavia,Xaviavirus,,,,49808,complete,"USA: Atlanta, GA",Mycolicibacterium smegmatis MC2 155,,"Blumer,L.S., Peister,A., Ashby,L.E., Bailey,J.T., Douglas,N.T., Edwards,J.M., Farrar,A.M., Ford,C., Frazier,A., Freeman,K.M., Hawkins,D.A., Hoover,D., Jones,M.S., Magruder,T., Phipps,S.A., Ridley,T.A., Scott,S.M., Singleton,G., Smith,C.P., White,Q.C., Wright,J.K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2017-09-13,2020-11-29,dsDNA
NC_051580,Mycobacterium phage Thonko,Thonkovirus thonko,Thonkovirus,,,,69471,complete,South Africa: Empangeni,Mycolicibacterium smegmatis MC2 155,,"Naidoo,P., Moodley,A., Oodhrajh,L., Radebe,N.L., Mkhwanazi,N.P., Jiyane,S., Ndwandwe,T., Gauthier,C.H., Guerrero,C.A., Larsen,M.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2017-07-04,2020-11-28,dsDNA
NC_051581,Mycobacterium phage BirdsNest,Birdsnestvirus birdsnest,Birdsnestvirus,,,,70668,complete,South Africa: Mpumalanga,Mycolicibacterium smegmatis MC2 155,,"Lauer,M.J., Curtus,N.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-07-15,2020-11-28,dsDNA
NC_051582,Mycobacterium phage LilMcDreamy,Lilmcdreamyvirus lilmcdreamy,Lilmcdreamyvirus,,,,71552,complete,"USA: Spokane, WA",Mycolicibacterium smegmatis MC2 155,,"Lippold,A., Marlatt,M., Cooper,K., Frohnapfel,E., Glenski,M., Johnson,H., Johnson,K., Tjaden,E., Troeh,S., Hayes,S., Ettinger,A.-S.H., Ettinger,W.F., Haydock,J., Anders,K.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2016-02-01,2020-11-28,dsDNA
NC_051583,Mycobacterium phage Saguaro,Saguarovirus saguaro,Saguarovirus,,,,69448,complete,"USA: Tucson, AZ",Mycolicibacterium smegmatis,,"Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2015-10-01,2020-11-28,dsDNA
NC_051584,Mycobacterium phage Quesadilla,Quesadillavirus quesadilla,Quesadillavirus,,,,70992,complete,"USA: Mason City, IA",Mycolicibacterium smegmatis MC2 155,,"Jorgensen,H.J., Tolsma,S., Caruso,S.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Se,D., Hatfull,G.F.",2019-01-15,2020-11-28,dsDNA
NC_051585,Mycobacterium phage CRB2,Quesadillavirus CRB2,Quesadillavirus,,,,72217,complete,,Mycolicibacterium smegmatis,,"Suarez,C.A., Franceschelli,J.J., Morbidoni,H.R.",,2020-11-28,dsDNA
NC_051586,Mycobacterium phage Imvubu,Imvubuvirus imvubu,Imvubuvirus,,,,69897,complete,South Africa: Mpumalanga,Mycolicibacterium smegmatis MC2 155,,"Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-07-15,2020-11-28,dsDNA
NC_051587,Mycobacterium phage Serendipitous,Acadianvirus serendipitous,Acadianvirus,,,,69867,complete,"USA: High Shoals, NC",Mycolicibacterium smegmatis MC2 155,,"Farris,L., Burns,B., Flowers,J., Harvey,A., Kent,S., Kernodle,S.A., Mcginnis,R., Sargent,R., Stanley,M., Wright,P., Wallen,J.R., Eckardt,M.A., Gainey,M.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2015-09-01,2020-11-28,dsDNA
NC_051588,Mycobacterium phage Aminay,Aminayvirus aminay,Aminayvirus,,,,60430,complete,"USA: Bangor, ME",Mycolicibacterium smegmatis,,"Casillas,A., Clement,H., Gina,D., Holmes,M., Massaad,J., Massaad,P., Porter,L., Neely,M., Molloy,S.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2017-10-01,2020-11-28,dsDNA
NC_051589,Mycobacterium phage Henu3,Fionnbharthvirus henu3,Fionnbharthvirus,,,,58899,complete,China,Mycolicibacterium smegmatis MC2 155,,"Teng,T.",,2020-11-28,dsDNA
NC_051590,Mycobacterium phage Eponine,Fionnbharthvirus eponine,Fionnbharthvirus,,,,58678,complete,"USA: Bethlehem, PA",Mycolicibacterium smegmatis MC2 155,,"Mansi,R., Bartek,K., Buck,J.M., Mohammed,H.T., Kenna,M.A., Ware,V.C., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-01-15,2020-11-28,dsDNA
NC_051591,Mycobacterium phage Taquito,Fionnbharthvirus taquito,Fionnbharthvirus,,,,58390,complete,"USA: Spokane, WA",Mycolicibacterium smegmatis MC2 155,,"Henderson,J.H., Agbayani,G., Akanbi,A., Allen,L., Anton,T., Bauer,V., Benoit,R., Bhakta,Y., Binongcal,M.A., Bobovsky,T., Bual,H., Calley,B., Clark,M., Conahan,B., Cone,E., Dardis,C., Fangman,M., Flatgard,B., Focht,K., Geraci,K., Goodwin,B., Hanson,H., Hunt,G., Hutton,S., Illback,M., Jamsa,A., Konzek,B., Kraus,A., Kuenzi,M., Laird,K., Lieb,M., MacKenzie,A., Maurer,K., Miera,M., Mishler,B., Naughton,C., Nease,R., Nelson,B., Nigg,N., O'Sullivan,K., Orion,I., Peterson,C., Peterson,S., Roletto,M., Rush,L., Schlatter,T., Seidl,R., Sevy,E., Sonderby,V., Souers,H., Syvertson,H., Taggard,K., Takasugi,J., Tietge,S., Vasquez,C., Velasco,R., Virk,M., Vologdin,S., Wing,S., Winslow,J., Young,E., Cunanan,N., Dasiuk,E., Fudge,K., Murphy,A., Poxleitner,M.K., Ettinger,A.-S.H., Anders,K.R., Schaff,J.E., Dashiell,C.L., Macialek,J.A., Braun,M.A., Delesalle,V.A., Hughes,L.E., Ware,V.C., Bradley,K.W., Barker,L.P., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2011-10-01,2020-11-28,dsDNA
NC_051592,Mycobacterium phage Patt,Fionnbharthvirus patt,Fionnbharthvirus,,,,54611,complete,"USA: Blauvelt, NY",Mycolicibacterium smegmatis,,"Connors,B.J., Alvarez,R., Jacob,C., Drake,L.M., Tomczak,P., Lauer,M.J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2017-10-01,2020-11-28,dsDNA
NC_051593,Mycobacterium phage Collard,Kratiovirus collard,Kratiovirus,,,,61395,complete,"USA: St. Louis, MO",Mycobacterium,,"Butch,N.M., Gantz,K.M., Lawall,C.L., Nguyen,T.P., Will,N.J., Reilly,J.C., Williams,K.C., Merlino,C.O., McCann,M.P., Lee-Soety,J.Y., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Se,D., Hatfull,G.F.",2011-09-01,2020-11-28,dsDNA
NC_051594,Mycobacterium phage Leston,Kratiovirus leston,Kratiovirus,,,,61808,complete,"USA: El Paso, TX",Mycolicibacterium smegmatis MC2 155,,"Basco,F., Beherens,K., Boots,K., Caro,A., Chapina-Guizar,A., Devine,A., Diaz,D.L., Flores,Y., Granillo,K., Johnson,J., Llano,M., Mata,L., Mercier,L., Morales,J., Muniz,L., Munoz,S., Okwanwanne,A., Olivas,J., Ramos,A., Rangel,E., Rosas-Acosta,G., Saavedra,D., Salama,I., Shamaley,A., Tucker,I., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2014-10-01,2020-11-28,dsDNA
NC_051595,Mycobacterium phage Paola,Kratiovirus paola,Kratiovirus,,,,61535,complete,"USA: Bellflower, CA",Mycolicibacterium smegmatis MC2 155,,"Alam,S., Brenner,L., Nol-Bernardino,P., Laskow,J., Ma,X., Miikeda,A., Rojas,C., Shen,J., Sukhina,A., Walas,N., Wei,W., Wentworth,S., Freise,A., Ibarra,X., Reddi,K., Moberg-Parker,J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2017-04-11,2020-11-28,dsDNA
NC_051596,Mycobacterium phage Rando14,Kratiovirus rando14,Kratiovirus,,,,59925,complete,"USA: New Orleans, LA",Mycolicibacterium smegmatis MC2 155,,"Michaels,M.J., Wallen,J.R., Eckardt,M.A., Gainey,M.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2014-09-01,2020-11-28,dsDNA
NC_051597,Mycobacterium phage Thyatira,Kratiovirus thyatira,Kratiovirus,,,,63874,complete,"USA: Columbus, IN",Mycolicibacterium smegmatis,,"Doughty,L.G., Baird,D.A., DeVore,H., Hemesath,L.A., Lein,K., Meder,A.W., Mirabelli,A., Olen,S., Oonk,E.M., Paquette,K.E., Pederson,T.M., Perecki,A.K., Smiley,C.M., Switalski,M.G., Van,W.B., Waalkes,A., Wilson,J.A., Wylie,Z.R., Stukey,J., Molloy,S.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2017-10-01,2020-11-28,dsDNA
NC_051598,Mycobacterium phage Findley,Timquatrovirus findley,Timquatrovirus,,,,58150,complete,"USA: Nyack, NY",Mycolicibacterium smegmatis MC2 155,,"Bazemore,A., Burrell,P., Elliott,A., Findley,P., Park,P.J., Piasecki,P., Ryoo,H.S., Shields,M., Washington,J.M., Yun,M., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2014-10-01,2020-11-28,dsDNA
NC_051599,Mycobacterium phage Unicorn,Unicornvirus unicorn,Unicornvirus,,,,61208,complete,"USA: Suffolk, VA",Mycolicibacterium smegmatis MC2 155,,"Barekzi,N., Denby,H.W., Murphy,J.L., Richards,S., Womack,F.R., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2016-10-01,2020-11-28,dsDNA
NC_051600,Mycobacterium phage Bryler,Unicornvirus bryler,Unicornvirus,,,,57666,complete,"USA: Spokane, WA",Mycolicibacterium smegmatis MC2 155,,"Bianchetto,T., Ward,B., Althoff,P., Ashe,A., Boggs,D., Devereaux,C., Kar,E., Naccarato,C., Sanders,S., Haydock,J., Ettinger,A.-S.H., Ettinger,W.F., Anders,K.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2014-10-01,2020-11-28,dsDNA
NC_051601,Mycobacterium phage Krueger,Unicornvirus krueger,Unicornvirus,,,,60321,complete,"USA: Holland, MI",Mycolicibacterium smegmatis MC2 155,,"Tobias,T., Darnell,A., Downs,E., Draper,R., Fishman,F., Harders,C., Isola,J., Keiser,K., Knight,T., Lindquist,A., Mozdren,S., Obiri-Yeboah,D., Oostindie,M., Pearce,C., Pelyhes,D., Peterson,J., Smith,S., Vroom,A., Stukey,J., Best,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2015-09-01,2020-11-28,dsDNA
NC_051602,Mycobacterium phage Shandong1,Unicornvirus shandong1,Unicornvirus,,,,60618,complete,China,Mycolicibacterium smegmatis MC2 155,,"Fan,X., Zhao,Z., Zhao,K., Song,S., Li,J., Xie,J.",2015-01-20,2020-11-28,dsDNA
NC_051603,Mycobacterium phage Ximenita,Unicornvirus ximenita,Unicornvirus,,,,61027,complete,"USA: Fort Collins, CO",Mycolicibacterium smegmatis MC2 155,,"Siegel,J., Joseph,G., McLean,J., Kistle,A.K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2014-10-01,2020-11-28,dsDNA
NC_051604,Mycobacterium phage Hurricane,Keshuvirus hurricane,Keshuvirus,,,,61318,complete,"USA: Pullman, WA",Mycolicibacterium smegmatis,,"Anastasiadis,Z., Bhatti,R., Breslow,Z., Doerr,B., Ilyas,M., Kaiser,J., Milce,A., Monroe,S., Phan,T., Feng,G., Barbazuk,W.B., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2016-10-01,2020-11-28,dsDNA
NC_051605,Mycobacterium phage Amgine,Amginevirus amgine,Amginevirus,,,,62236,complete,"USA: Holland, MI",Mycolicibacterium smegmatis MC2 155,,"Chamberlain,C., Harders,C., Smith,S., Stukey,J., Best,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-09-01,2020-11-28,dsDNA
NC_051606,Mycobacterium phage Amohnition,Amginevirus amohnition,Amginevirus,,,,61761,complete,"USA: Williamsburg, VA",Mycolicibacterium smegmatis MC2 155,,"Paudel,S., Amoh,N.Y., Buchser,W.J., Forsyth,M.H., Saha,M.S., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2015-10-01,2020-11-28,dsDNA
NC_051607,Mycobacterium phage DarthP,Amginevirus darthP,Amginevirus,,,,61594,complete,"USA: Pensacola, FL",Mycolicibacterium smegmatis MC2 155,,"Alvarado,S., Chung,H.-M.M., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2015-10-01,2020-11-28,dsDNA
NC_051608,Mycobacterium phage Ekdilam,Amginevirus ekdilam,Amginevirus,,,,61772,complete,Madagascar: Ranomafana,Mycolicibacterium smegmatis MC2 155,,"Divens,A.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2018-05-13,2020-11-28,dsDNA
NC_051609,Mycobacterium phage Ellie,Amginevirus ellie,Amginevirus,,,,61945,complete,"USA: Grand Haven, MI",Mycobacterium,,"Pollenz,R.S., Bancroft,C.T., Cornely,K., Smith,L.A., Fackenthal,J.D., Perez,M.T., Gainey,M.D., Carvell,W.N., Spence,R.D., Chalal,J., Beyer,A.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2013-10-01,2020-11-28,dsDNA
NC_051610,Mycobacterium phage Adephagia,Anayavirus adephagia,Anayavirus,,,,59646,complete,"USA: Denton, TX",Mycolicibacterium smegmatis MC2 155,,"Hatfull,G.F., Alferez,G.I., Bryan,W.J., Byington,E.L., Contreras,T.D., Evans,C.R., Griffin,J.A., Jalal,M.D., Lindsey,C.B., Manley,C.M., Mitchell,A.M., Mosier,J.L., O'Hara,J.M., Onoh,U.M., Padilla,E., Penrod,L.C., Regalado,M.S., Reis,K.E., Ruprecht,A.M., Slater,A.E., Staton,A.C., Tovar,I.G., Turek,A.J., Utech,N.T., Simon,S.E., Hughes,L.E., Benjamin,R.C., Zhang,X., Meincke,L.J., Goodwin,L.A., Detter,J.C., Han,S., Green,L.D., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Jordan,T.C., Russell,D.A., Leuba,K.D., Fritz,M.J., Bowman,C.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2009-10-01,2020-11-28,dsDNA
NC_051611,Mycobacterium phage Adonis,Anayavirus adonis,Anayavirus,,,,60031,complete,"USA: Milledgeville, GA",Mycolicibacterium smegmatis MC2 155,,"Morris,S.A., Pillay,I., Garlena,R.A., Russell,D.A., Pope,W.H., Hatfull,G.F.",2016-10-01,2020-11-28,dsDNA
NC_051612,Mycobacterium phage AlishaPH,Anayavirus alishaPH,Anayavirus,,,,57034,complete,"USA: Northhampton, MA",Mycolicibacterium smegmatis MC2 155,,"Austin,R., Blanding,C., Kuzma,R., Livernois,E., Rokosz,L., Wan,E., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2015-10-01,2020-11-28,dsDNA
NC_051613,Mycobacterium phage Amelie,Anayavirus amelie,Anayavirus,,,,56439,complete,"USA: St. Louis, MO",Mycobacterium,,"Grinspan,D., Erlich,J., Cui,Z.D., Khazanchi,R., Shaffer,C.D., Hafer-Weston,K.A., Elgin,S.C.R., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2012-10-01,2020-11-28,dsDNA
NC_051614,Mycobacterium phage Apocalypse,Anayavirus apocalypse,Anayavirus,,,,59947,complete,"USA: Springsville, UT",Mycolicibacterium smegmatis MC2 155,,"Loney,R.E., Wentworth,H.A., Hanna,I.R., Delesalle,V.A., Grose,J., Hope,S., Breakwell,D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2011-08-30,2020-11-28,dsDNA
NC_051615,Mycobacterium phage Beezoo,Anayavirus beezoo,Anayavirus,,,,60494,complete,"USA: Bowling Green, KY",Mycolicibacterium smegmatis MC2 155,,"Zhu,B.Z., Cash,A.M., Martinez,Z.C., Herschberg,M.B., Vranjkovina,E., Halmadine,O.M., Moe,E., Gaffney,B.L., Staples,A.K., King,R.A., Rinehart,C.A., Rowland,N.S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-09-20,2020-11-28,dsDNA
NC_051616,Mycobacterium phage Bella96,Anayavirus bella96,Anayavirus,,,,60746,complete,"USA: Grand Ledge, MI",Mycolicibacterium smegmatis MC2 155,,"Fischman,H.D., Belyk,K.J., Conroy,J.L., Cushman,K.B., Elliott,M.P., Fifer,J.B., Gitter,S.R., Gutting,A.L., Kain,E.J., Kosiba,D.J., Lee,S.R., Nguyen,K.P., Parliament,N.D., Reitsma,H.S., Sievers,M.T., Talaga,S.L., Versluis,P., Yoon,Y.C., Stukey,J., Best,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2014-09-01,2020-11-28,dsDNA
NC_051617,Mycobacterium phage Chris,Anayavirus chris,Anayavirus,,,,62067,complete,"USA: Spokane, WA",Mycolicibacterium smegmatis MC2 155,,"Davenport,L., Mcconahy,L., Chen,A., Cottrell,A., Drouin,R., Erdman,M., Goranson,S., Harrington,A., Hecht,A., Ramos,M., Schutt,J., Hayes,S.G., Haydock,J., Ettinger,A.-S.H., Anders,K.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2016-02-01,2020-11-28,dsDNA
NC_051618,Mycobacterium phage Curiosium,Anayavirus curiosium,Anayavirus,,,,61222,complete,Madagascar: Ranomafana,Mycolicibacterium smegmatis MC2 155,,"Divens,A.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2019-05-13,2020-11-28,dsDNA
