Accession,Host,order,family,genus,species
NC_054791.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054793.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054770.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054771.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054772.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054773.1,Mycolicibacterium phlei,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phlei
NC_054774.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054775.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054776.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054777.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054778.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054779.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054780.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054781.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054782.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054759.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054760.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054761.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054762.1,Rhodococcus erythropolis,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis
NC_054723.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054724.1,Rhodococcus erythropolis,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis
NC_054725.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054726.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054727.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054714.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054715.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054716.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054717.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054718.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054719.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054720.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054721.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054722.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054655.1,Streptomyces xanthochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes
NC_054656.1,Streptomyces toxytricini,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces toxytricini
NC_054657.1,Streptomyces sp.,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp.
NC_054658.1,Streptomyces sp.,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp.
NC_054659.1,Streptomyces sp.,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp.
NC_054660.1,Streptomyces xanthochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes
NC_054661.1,Streptomyces platensis,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces platensis
NC_054662.1,Streptomyces azureus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces azureus
NC_054663.1,Streptomyces xanthochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes
NC_054664.1,Streptomyces xanthochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes
NC_054665.1,Streptomyces xanthochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes
NC_054666.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_054667.1,Streptomyces griseofuscus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseofuscus
NC_054668.1,Streptomyces xanthochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes
NC_054669.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_054670.1,Streptomyces xanthochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces xanthochromogenes
NC_054671.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_054672.1,Streptomyces coelicolor,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
NC_054673.1,Streptomyces coelicolor,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
NC_054674.1,Streptomyces coelicolor,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
NC_054675.1,Streptomyces griseofuscus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseofuscus
NC_054676.1,Streptomyces sp.,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp.
NC_054677.1,Streptomyces azureus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces azureus
NC_054678.1,Streptomyces griseus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseus
NC_054679.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_054680.1,Streptomyces toxytricini,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces toxytricini
NC_054681.1,Streptomyces griseus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseus
NC_054636.1,Shigella flexneri,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
NC_054637.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_054638.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054639.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054640.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054641.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054642.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054643.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054644.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054645.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054646.1,Salmonella sp.,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella sp.
NC_054647.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054648.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_054650.1,Shigella flexneri,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
NC_054651.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_054652.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_054653.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_054654.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_054462.1,Ralstonia pseudosolanacearum,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pseudosolanacearum
NC_054463.1,Ralstonia pseudosolanacearum,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pseudosolanacearum
NC_054464.1,Edwardsiella anguillarum,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella anguillarum
NC_054465.1,Aeromonas rivipollensis,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas rivipollensis
NC_054466.1,Aeromonas rivipollensis,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas rivipollensis
NC_054458.1,Xanthomonas oryzae,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas oryzae
NC_054459.1,Xanthomonas oryzae,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas oryzae
NC_054460.1,Xanthomonas euvesicatoria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas euvesicatoria
NC_054461.1,Xanthomonas vesicatoria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas vesicatoria
NC_054448.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054449.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054450.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054451.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054452.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054453.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054454.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054455.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054456.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054439.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054440.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054441.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054442.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054443.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054444.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054445.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054446.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054447.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_054431.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_054432.1,Mycobacteroides abscessus,Mycobacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus
NC_054433.1,Mycobacterium sp.,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp.
NC_054434.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054435.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054436.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054437.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054438.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054146.1,Ralstonia solanacearum,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
NC_054147.1,Achromobacter sp.,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp.
NC_054148.1,Burkholderia cenocepacia,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia
NC_054149.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_054392.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_054393.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053504.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053505.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053506.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053507.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053508.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053509.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053510.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053511.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053512.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053513.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053514.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053515.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053516.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053503.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053209.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_053210.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053211.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053234.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053235.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053236.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053237.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053238.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053239.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053240.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053241.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053242.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053243.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053244.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053245.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053246.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053247.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053248.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053249.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053172.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053173.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_053174.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_052968.1,Synechococcus sp.,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp.
NC_052969.1,Ruegeria pomeroyi,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria pomeroyi
NC_052970.1,Ruegeria pomeroyi,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria pomeroyi
NC_052971.1,Ruegeria pomeroyi,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria pomeroyi
NC_052972.1,Ruegeria pomeroyi,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria pomeroyi
NC_052975.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_052976.1,Pseudomonas sp.,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.
NC_052979.1,Providencia stuartii,Enterobacterales,Morganellaceae,Providencia,Providencia stuartii
NC_052980.1,Proteus mirabilis,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis
NC_052981.1,Proteus mirabilis,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis
NC_052984.1,Aeromonas hydrophila,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
NC_052985.1,Aeromonas hydrophila,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
NC_052987.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_052988.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_052989.1,Cronobacter sakazakii,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii
NC_052991.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_052999.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_053000.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_053008.1,Salmonella sp.,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella sp.
NC_053009.1,Providencia rettgeri,Enterobacterales,Morganellaceae,Providencia,Providencia rettgeri
NC_053010.1,Providencia rettgeri,Enterobacterales,Morganellaceae,Providencia,Providencia rettgeri
NC_053011.1,Erwinia pyrifoliae,Enterobacterales,Erwiniaceae,Erwinia,Erwinia pyrifoliae
NC_053013.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_053014.1,Pectobacterium carotovorum,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium carotovorum
NC_053015.1,Pectobacterium carotovorum,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium carotovorum
NC_052964.1,Pseudomonas sp.,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.
NC_052965.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_052966.1,Xanthomonas oryzae,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas oryzae
NC_052932.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052933.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052934.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052935.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052936.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052937.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052938.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052939.1,Microbacterium foliorum,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum
NC_052940.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_052941.1,Microbacterium paraoxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium paraoxydans
NC_052653.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052654.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052655.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052656.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052657.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052658.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052659.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052660.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052661.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052662.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052663.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_052650.1,Halobacterium salinarum,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum
NC_051634.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051635.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051636.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051637.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051638.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051639.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051641.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051642.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051647.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051648.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051649.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051650.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051651.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051652.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051653.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051654.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051656.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051657.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051658.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051661.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051662.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051663.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051664.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051665.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051668.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051672.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051675.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051676.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_051678.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
